ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2033-05-09,35,101476,596,Unemployed,Bachelor,9,34281,60,Married,4,Rent,515,0.0336367612,4,2,0.1785381204,0,Home,1,21,25,8987,777,72850,28546,8456.3333333333,0.7921770873,3,44304,0.241281,0.2553314216,1016.9357974247,0.1811583977,0,57.0
2039-06-03,43,112149,466,Employed,Associate,21,34634,96,Widowed,0,Own,440,0.4541134631,2,0,0.6786950258,0,Home,0,23,9,1044,5371,18675,57047,9345.75,0.8106401531,7,9489,0.336634,0.3482242848,1073.9544905546,0.1619939,0,59.0
2055-10-26,43,65106,548,Employed,High School,21,20660,60,Single,0,Own,550,0.5964601779,4,1,0.1992526419,1,Debt Consolidation,0,30,21,2865,607,43268,37651,5425.5,0.9304014275,1,5617,0.25166,0.2680021354,628.3951785271,0.2171956831,0,63.0
2050-12-26,43,69856,554,Employed,Associate,21,31926,36,Widowed,2,Mortgage,305,0.438443018,0,2,0.0546749339,0,Home,0,21,29,8076,1760,10727,16539,5821.3333333333,0.9100021647,6,7768,0.239926,0.2360114298,1245.8718060149,0.2664117853,0,51.0
2041-10-29,22,37026,533,Employed,High School,0,28415,120,Married,1,Mortgage,299,0.2723677439,1,3,0.1632872729,0,Home,0,17,16,5051,1093,50791,29504,3085.5,0.8592569538,8,21287,0.316915,0.3380766513,830.1311240554,0.3659475366,0,51.0
2027-08-07,23,35827,599,Employed,Bachelor,0,83790,24,Single,0,Rent,255,0.5218423141,1,1,0.379037312,0,Home,1,21,12,655,909,130190,434368,2985.5833333333,0.764700742,3,7574,0.25929,0.2244264022,4365.2078328745,1.5475059032,0,62.0
2043-08-21,41,21625,483,Employed,Associate,18,63536,36,Married,1,Mortgage,257,0.178214821,2,1,0.0959908958,0,Debt Consolidation,0,24,7,17715,575,19656,26241,1802.0833333333,0.6969913094,4,4061,0.307036,0.3193262188,2764.8967742012,1.6768906955,0,52.0
2069-06-09,59,58487,556,Employed,High School,38,31215,84,Divorced,2,Own,610,0.482840289,5,1,0.6492572723,0,Debt Consolidation,0,28,25,1315,984,24292,28365,4873.9166666667,0.8412078206,5,9733,0.278215,0.2998723968,892.2620153026,0.3082248052,0,59.0
2046-03-07,29,62126,579,Employed,Bachelor,4,23310,72,Married,2,Rent,266,0.0596860397,4,0,0.0702970057,0,Debt Consolidation,0,15,29,2799,265,83382,5234,5177.1666666667,0.6987867531,6,78148,0.24881,0.2386277007,611.7380198046,0.1695402285,0,47.0
2021-09-24,41,185502,527,Employed,Bachelor,19,34297,48,Single,1,Rent,437,0.2590511683,2,1,0.2053613855,0,Debt Consolidation,0,21,28,8939,320,105745,73191,15458.5,0.7045242779,3,32554,0.265797,0.2513087248,1139.6949084683,0.1019953364,1,40.0
2046-07-03,40,106561,569,Unemployed,High School,19,40297,60,Married,3,Mortgage,540,0.1959173139,4,1,0.2265538032,0,Debt Consolidation,0,14,26,3206,2203,14232,45163,8880.0833333333,0.9388242468,3,9337,0.260797,0.2579466877,1201.6174782329,0.1961262539,0,53.0
2036-01-07,36,19607,527,Employed,Bachelor,11,32363,36,Married,1,Own,266,0.2151749683,2,0,0.1738219077,0,Debt Consolidation,0,27,6,1449,1711,11377,12704,1633.9166666667,0.9540673743,6,10205,0.253863,0.2121252727,1222.8124924847,0.9111924267,0,54.0
2056-05-25,18,68554,523,Employed,High School,0,15228,12,Single,2,Rent,130,0.0917722213,5,0,0.5508008062,0,Education,0,24,14,1361,925,265425,15015,5712.8333333333,0.9541800318,9,250410,0.218728,0.2059788464,1414.9993407842,0.2704436224,1,40.8
2067-05-31,28,33726,620,Employed,Associate,7,40736,84,Single,1,Mortgage,888,0.0512881768,2,0,0.3887260096,0,Debt Consolidation,0,28,9,1242,332,11713,37436,2810.5,0.8009174725,5,3234,0.255736,0.3068832,1183.6783769487,0.7371209311,0,52.0
2061-06-27,53,28147,554,Employed,Associate,34,14166,72,Married,0,Mortgage,1291,0.1259715315,3,0,0.5706578956,0,Debt Consolidation,0,22,20,2824,1028,30451,5699,2345.5833333333,0.6230661901,1,24752,0.252166,0.2017328,340.7401041172,0.6956649465,0,59.0
2071-03-16,51,48906,574,Employed,Bachelor,29,32605,108,Widowed,1,Mortgage,564,0.3857878731,2,1,0.1785924804,0,Home,0,28,8,6099,246,17141,56479,4075.5,0.8143834047,6,7850,0.290605,0.2898812395,852.3522386072,0.34752846,0,52.0
2071-10-19,33,15000,568,Employed,Associate,10,52026,96,Single,2,Own,316,0.3842720533,1,0,0.3257821191,0,Education,0,31,16,19081,1963,144691,33121,1250.0,0.9213614668,5,111570,0.303026,0.2518918411,1264.142151952,1.2641137216,0,52.0
2056-09-07,18,20320,552,Employed,Bachelor,0,9417,48,Married,0,Mortgage,239,0.4030598704,3,2,0.2289704963,0,Home,1,28,28,1444,1008,39266,16292,1693.3333333333,0.9240054052,2,22974,0.228417,0.2218442015,297.6363743376,0.3169112447,0,61.0
2019-01-22,44,15132,551,Employed,Associate,21,12154,36,Married,3,Rent,195,0.3568238436,4,1,0.3393342415,0,Auto,0,29,11,3959,1311,26658,173022,1261.0,0.7325370383,5,2077,0.221654,0.2322202771,471.8855919141,0.5288545535,0,56.0
2027-04-04,65,66775,571,Self-Employed,High School,44,12703,48,Widowed,0,Mortgage,305,0.4578567893,6,0,0.1382655724,0,Home,0,21,26,1125,1336,49712,4319,5564.5833333333,0.9033083301,3,45393,0.222203,0.2289983074,406.4530026285,0.1278537781,1,43.2
2031-01-12,48,49774,519,Employed,Associate,28,9659,60,Married,2,Rent,572,0.038731037,1,0,0.3098174403,0,Education,0,27,26,1070,313,31425,63402,4147.8333333333,0.9089619136,2,6880,0.255159,0.3061908,316.1843564432,0.2141321227,0,54.0
2070-11-11,52,45350,640,Employed,Associate,32,7080,60,Single,1,Mortgage,227,0.5082645995,2,2,0.5451723364,0,Debt Consolidation,0,17,7,3728,345,219192,6036,3779.1666666667,0.8106276446,4,213156,0.19208,0.1899170054,183.6267714551,0.108655375,1,43.2
2056-12-10,46,114141,589,Employed,Bachelor,24,28961,36,Single,1,Mortgage,269,0.3917454226,3,0,0.430696534,0,Education,0,27,27,1233,753,20906,18250,9511.75,0.7789418791,3,2656,0.219461,0.2065359457,1085.9634708855,0.1424515437,1,44.0
2067-05-06,33,34802,541,Employed,Associate,11,41372,108,Married,0,Mortgage,420,0.3538362949,4,0,0.1534172046,1,Home,0,24,16,781,1320,80744,25408,2900.1666666667,0.8853622692,11,55336,0.315872,0.2934652144,1092.1268170261,0.5213930752,0,61.0
2041-09-10,38,67548,609,Employed,Bachelor,18,20229,60,Single,3,Own,241,0.2123904844,6,0,0.2123105372,0,Auto,0,25,3,2367,1074,131536,35596,5629.0,0.8175846128,8,95940,0.220729,0.2365334766,577.884033088,0.1454759341,0,50.0
2064-03-06,69,30236,656,Employed,High School,47,11574,48,Married,2,Mortgage,252,0.2031617604,3,1,0.1909657717,0,Home,0,30,10,1819,326,22007,118016,2519.6666666667,0.8614160946,4,2010,0.178574,0.1711157294,334.6367307793,0.2328231502,0,45.0
2043-03-02,18,28589,553,Employed,Associate,0,41349,84,Married,1,Mortgage,423,0.3285643045,2,1,0.068860429,0,Education,0,13,1,3039,1132,59725,13516,2382.4166666667,0.8208304884,6,46209,0.289849,0.2954251503,1169.597389896,0.6684797887,0,56.0
2065-10-10,42,22615,596,Employed,High School,21,19130,48,Married,4,Mortgage,235,0.2806860642,1,2,0.1403040211,0,Debt Consolidation,0,26,11,4290,3395,163577,13691,1884.5833333333,0.5888542858,2,149886,0.21613,0.2117043575,594.1288190677,0.4399533862,0,48.0
2029-05-15,41,34155,548,Employed,High School,16,20224,12,Divorced,3,Other,245,0.0726245867,3,2,0.6053457524,0,Home,0,26,10,187,3048,60697,85479,2846.25,0.9342141109,4,6132,0.211224,0.2024194681,1875.7828844191,0.7451147596,0,58.0
2021-11-05,51,30437,580,Employed,Bachelor,30,19521,48,Divorced,2,Mortgage,617,0.4494889427,4,1,0.3096156449,0,Home,0,23,29,6848,178,50776,9187,2536.4166666667,0.7066407491,2,41589,0.224521,0.2358236314,631.9217376545,0.4923961248,0,56.0
2026-03-25,23,27986,569,Employed,Master,5,21305,12,Married,2,Rent,201,0.1276474783,2,0,0.3677122956,0,Debt Consolidation,1,17,2,11380,922,120998,29579,2332.1666666667,0.9873825363,4,91419,0.201805,0.2225140632,1996.6069637424,0.9423027072,0,63.0
2034-05-06,32,125042,507,Employed,Bachelor,7,11010,12,Single,1,Rent,466,0.0833119905,2,1,0.6472342882,0,Home,0,33,14,5019,784,81989,6823,10420.1666666667,0.8534613532,4,75166,0.22251,0.2492606557,1046.0416981287,0.145107247,1,42.4
2050-03-01,18,25896,554,Employed,Associate,0,18085,96,Divorced,0,Own,327,0.2819886191,1,3,0.1540796689,0,Auto,0,14,9,1207,198,128583,13140,2158.0,0.645259293,4,115443,0.276085,0.2899831981,486.147179262,0.3768059218,0,49.0
2062-06-27,45,98110,594,Unemployed,High School,20,12604,48,Married,0,Other,919,0.1874154272,2,1,0.2518598478,0,Debt Consolidation,0,31,21,3287,1080,130982,9094,8175.8333333333,0.743380298,6,121888,0.210604,0.212206452,391.7889748838,0.160324816,1,39.2
2068-05-12,30,76093,605,Employed,Master,9,11976,60,Divorced,0,Mortgage,339,0.2395367307,3,3,0.1240428163,0,Auto,0,24,13,1769,110,112273,148048,6341.0833333333,0.6741936772,5,1673,0.214476,0.2241084937,333.5676925418,0.1060651086,1,37.6
2071-08-25,30,84079,521,Employed,Bachelor,7,10206,72,Divorced,4,Rent,535,0.2133338088,3,2,0.2376685459,0,Other,0,18,28,14093,1140,54400,51730,7006.5833333333,0.6641846743,3,2670,0.264706,0.289401652,300.099887404,0.1191878905,1,40.8
2044-11-15,42,42713,660,Employed,Master,19,14426,84,Single,1,Mortgage,424,0.1124926861,5,0,0.2915893469,0,Home,0,22,3,1206,744,63496,42060,3559.4166666667,0.9381695583,10,21436,0.209426,0.1738522304,298.0273588957,0.2028499124,0,49.0
2064-04-24,34,61190,484,Employed,High School,13,15228,48,Married,2,Rent,915,0.5690115437,5,0,0.1171372925,0,Auto,0,23,12,1944,2048,109513,115097,5099.1666666667,0.9687895315,5,5812,0.268228,0.228810002,487.0875051936,0.2749640474,0,51.0
2071-10-02,50,68258,582,Employed,High School,24,53689,72,Married,0,Other,328,0.4164137269,5,0,0.3194023961,0,Home,0,20,29,1125,264,24230,8482,5688.1666666667,0.7172920441,2,15748,0.277689,0.2359342499,1400.2395612104,0.3038306826,0,55.0
2029-05-21,32,57428,585,Employed,Associate,11,27746,48,Widowed,2,Other,355,0.3490626985,2,0,0.7624291724,0,Home,0,22,1,6834,1118,37824,207814,4785.6666666667,0.9092653579,6,7847,0.230246,0.2353387814,897.4355757547,0.2617055602,0,62.0
2046-01-22,49,81163,521,Employed,Bachelor,27,24562,108,Married,4,Rent,312,0.0907930136,2,1,0.0732412221,0,Debt Consolidation,0,23,22,1610,826,13022,8398,6763.5833333333,0.9515248074,3,4624,0.309062,0.3262902358,706.856634659,0.1506385867,0,48.0
2043-06-01,29,58886,584,Employed,High School,3,16936,72,Single,1,Rent,336,0.3355212053,6,0,0.3916533439,0,Auto,1,16,25,1680,4400,36795,52157,4907.1666666667,0.6921493469,5,2774,0.239936,0.2544358471,460.8287035093,0.1623806073,0,60.0
2032-12-23,58,51206,588,Employed,High School,35,15014,72,Married,1,Mortgage,492,0.4238362266,2,1,0.5146314188,1,Education,0,27,2,6063,947,195937,7896,4267.1666666667,0.8624481737,5,188041,0.236014,0.239449353,394.769311253,0.2078122043,0,71.0
2058-11-08,18,52690,518,Employed,Master,0,10147,48,Single,5,Rent,774,0.5978901572,4,1,0.2192942752,0,Debt Consolidation,0,25,10,7197,1123,29055,5739,4390.8333333333,0.9399076742,1,23316,0.246147,0.2827735002,355.2569160456,0.2571851014,0,53.0
2057-03-28,37,50092,589,Employed,High School,15,20084,60,Married,4,Rent,391,0.3822901242,2,3,0.0969232628,0,Home,0,36,10,7194,2003,106483,32074,4174.3333333333,0.6373460098,1,74409,0.230584,0.2584553538,599.489165893,0.2372808031,0,48.0
2070-05-11,38,31564,585,Employed,High School,15,23329,60,Married,1,Mortgage,330,0.2437665797,1,0,0.0466178596,0,Home,0,23,28,6859,3466,97101,70296,2630.3333333333,0.5736244032,7,26805,0.235829,0.2443829725,677.0759923601,0.3828701023,0,51.0
2058-01-26,39,44361,533,Employed,Associate,16,26009,60,Single,1,Own,145,0.4092903065,3,0,0.4773561886,0,Education,0,24,5,1488,2977,33288,17403,3696.75,0.9553716367,3,15885,0.264509,0.2939050638,831.7685363256,0.2642235846,0,60.0
2067-03-06,32,20178,562,Employed,Associate,10,37660,108,Married,0,Mortgage,344,0.6389545997,8,0,0.3429997206,0,Other,0,33,13,1052,728,22161,12641,1681.5,0.7917742647,5,9520,0.30166,0.2954497692,999.4894212271,0.7989827066,0,58.0
2070-08-11,35,30898,604,Employed,Bachelor,10,9804,60,Divorced,1,Own,821,0.2110823127,3,1,0.2550051217,0,Debt Consolidation,0,29,24,10588,975,167873,18459,2574.8333333333,0.8878953725,1,149414,0.212804,0.2117220986,266.1817597546,0.4222338377,0,46.0
2055-05-22,36,28085,581,Employed,High School,12,21810,36,Single,2,Own,227,0.1529947424,3,2,0.179572618,0,Debt Consolidation,0,29,4,5263,4961,185085,7061,2340.4166666667,0.8709421424,4,178024,0.21631,0.2027988784,813.6514323647,0.4446436599,0,50.0
2024-07-21,32,145841,593,Unemployed,Master,10,23408,48,Married,1,Own,137,0.2505699211,5,3,0.3554616291,0,Home,0,30,29,7328,699,13549,31879,12153.4166666667,0.865083017,9,10990,0.221908,0.2522945925,779.1408047494,0.0753813376,1,44.0
2024-03-14,48,21467,584,Employed,Bachelor,28,23387,36,Married,0,Rent,681,0.4932425798,1,0,0.3162379974,0,Auto,0,25,8,3790,1039,76639,24068,1788.9166666667,0.956691533,6,52571,0.216387,0.2065150153,876.9276526565,0.8708777115,0,56.0
2031-05-27,27,56933,597,Employed,Bachelor,2,14420,96,Married,2,Mortgage,270,0.1165925128,3,0,0.1565207585,0,Debt Consolidation,0,22,7,2956,293,106332,19371,4744.4166666667,0.9708902381,9,86961,0.25092,0.2673932846,365.363447729,0.1339181384,0,48.0
2056-08-05,48,53792,636,Employed,Associate,27,17591,36,Divorced,2,Rent,542,0.0513215602,0,0,0.2054581247,0,Other,1,23,6,3061,1763,12177,36212,4482.6666666667,0.753145085,4,6260,0.184591,0.1801469088,636.0864372337,0.2628092885,0,56.0
2069-11-29,37,42691,585,Self-Employed,High School,14,12418,60,Single,0,Rent,489,0.211707861,3,2,0.1160954928,0,Auto,0,22,20,2449,397,13415,1883,3557.5833333333,0.4119580503,4,11532,0.224918,0.2024584102,330.7020062212,0.2304097837,0,54.0
2067-09-28,45,107513,618,Employed,Associate,23,33255,24,Married,2,Mortgage,458,0.1138738064,7,2,0.2616142909,0,Debt Consolidation,0,24,16,2017,367,214730,17747,8959.4166666667,0.5131929835,7,196983,0.199255,0.1804461258,1660.94293796,0.2365045646,1,34.4
2045-08-14,23,24816,607,Employed,High School,3,24594,36,Married,1,Mortgage,462,0.3950888317,0,1,0.4858562943,0,Home,0,30,18,1462,1139,42132,21465,2068.0,0.7953355462,5,20667,0.206094,0.1865257881,897.2039449128,0.6572552925,0,55.0
2070-01-05,40,63024,596,Employed,High School,16,20199,48,Married,1,Mortgage,499,0.6644247828,4,1,0.4536834846,0,Education,0,37,16,59246,729,59975,50747,5252.0,0.8362379943,3,9228,0.217199,0.2298326852,647.2225248029,0.218244959,0,58.0
2052-05-01,31,39491,464,Employed,High School,6,17901,48,Divorced,1,Own,1041,0.5453294842,3,1,0.259386134,0,Home,0,24,15,4145,388,498673,78876,3290.9166666667,0.8756573382,0,419797,0.280901,0.2786060626,622.4612922853,0.5054704998,0,48.0
2044-10-08,41,60518,522,Employed,High School,19,34185,12,Married,1,Own,567,0.4872098275,7,3,0.0217992403,0,Other,0,22,12,2981,2110,77556,105392,5043.1666666667,0.7439387142,5,4542,0.238185,0.2574547351,3261.4653744565,0.7591391734,0,51.0
2021-01-07,65,191628,617,Employed,Bachelor,43,33012,60,Married,2,Mortgage,278,0.1023406581,4,2,0.0761995861,0,Auto,0,21,1,10366,122,63191,64497,15969.0,0.7010936057,2,1913,0.229512,0.2000510828,874.7099226676,0.0721842271,1,38.4
2056-08-24,44,41058,568,Employed,Bachelor,21,16751,60,Single,0,Mortgage,726,0.3299870905,4,0,0.0841312444,0,Education,0,27,21,4861,1399,97154,274029,3421.5,0.5988171121,6,5987,0.237751,0.2309226058,473.1069294411,0.3504623497,0,51.0
2069-08-25,40,53202,469,Employed,High School,17,19409,96,Married,2,Rent,518,0.2393203465,4,2,0.1755084332,0,Auto,0,24,18,3420,1474,20029,55235,4433.5,0.7572638236,8,2030,0.319909,0.3382132622,587.8089928806,0.2494212232,0,50.0
2070-11-02,46,23904,603,Employed,Master,24,20058,60,Married,0,Own,300,0.2347577053,0,0,0.3136097002,0,Debt Consolidation,0,27,29,751,5616,262983,30186,1992.0,0.8772998782,10,232797,0.223558,0.2377398449,574.3994943758,0.4389555695,0,49.0
2031-04-30,39,99810,418,Employed,High School,16,38401,84,Married,0,Rent,195,0.2511816043,2,2,0.3906857576,0,Education,1,35,14,1904,1798,47924,23184,8317.5,0.9562357417,3,24740,0.354401,0.2835208,1055.7723331484,0.1503783989,0,59.0
2071-05-21,50,121299,601,Self-Employed,Bachelor,30,13638,36,Widowed,1,Other,813,0.0378069711,6,3,0.6795985859,0,Debt Consolidation,0,29,19,1192,1581,56400,14999,10108.25,0.7305682372,3,41401,0.198138,0.1944199905,502.9677743794,0.1301874978,1,44.0
2024-04-14,46,160633,636,Employed,Bachelor,28,18751,60,Single,0,Own,463,0.1031353256,6,0,0.1219554112,0,Other,0,27,24,1644,942,23444,7885,13386.0833333333,0.6872799175,4,15559,0.205751,0.2177665063,515.5038577751,0.073098593,1,35.2
2022-09-10,50,47816,628,Employed,Master,28,16152,48,Married,0,Rent,275,0.0456983148,4,1,0.265494883,0,Home,0,28,10,1457,788,58226,121070,3984.6666666667,0.6251527308,6,8628,0.197152,0.1873599277,480.6994080161,0.1896518508,0,49.0
2022-01-21,35,27311,530,Employed,High School,13,30390,24,Widowed,0,Rent,771,0.0768159655,3,1,0.6838879293,0,Home,1,32,2,591,1139,55194,10682,2275.9166666667,0.4824239786,4,44512,0.24039,0.2156013739,1569.9836874641,1.0285893687,0,69.0
2020-07-06,42,70459,607,Employed,High School,22,20544,84,Married,1,Rent,412,0.1230763824,3,1,0.3289946054,0,Education,0,21,4,3025,1318,61017,38282,5871.5833333333,0.9479862719,5,22735,0.242044,0.2375139393,503.7153355956,0.1559571386,0,53.0
2050-06-05,33,125084,618,Self-Employed,Bachelor,12,19170,12,Single,3,Mortgage,457,0.3845226956,1,1,0.0614619855,0,Debt Consolidation,0,21,4,6232,951,36776,7096,10423.6666666667,0.9481907957,9,29680,0.17517,0.140136,1721.3417168693,0.20898037,1,40.8
2043-01-12,42,78496,519,Employed,Associate,18,9312,24,Married,1,Mortgage,479,0.568466972,3,1,0.3052734904,0,Auto,1,28,25,3772,755,54118,36059,6541.3333333333,0.9125667235,5,18059,0.224812,0.2364311294,490.6785155838,0.1482386642,1,48.8
2060-10-20,39,33190,491,Employed,High School,13,24345,36,Married,1,Rent,350,0.3755584686,3,1,0.3679219529,0,Debt Consolidation,0,21,22,3468,2495,123232,47503,2765.8333333333,0.821014893,2,75729,0.263845,0.252432128,971.087262975,0.4776452894,0,53.0
2020-12-12,21,58111,548,Employed,Bachelor,0,12774,48,Married,1,Rent,536,0.1957667472,2,1,0.4592966035,0,Auto,0,15,13,1936,383,191937,32010,4842.5833333333,0.7627783491,7,159927,0.233774,0.2160745218,399.7412795529,0.1932318383,1,40.8
2036-07-18,25,45372,600,Employed,Bachelor,2,17616,36,Single,0,Own,748,0.0427017219,7,1,0.1116920407,0,Home,0,29,19,7172,703,10176,81304,3781.0,0.9642230895,9,9955,0.202616,0.2245403275,676.9078004943,0.3768600372,0,47.0
2068-05-28,53,39748,568,Employed,High School,31,7985,120,Married,0,Own,255,0.1026868433,5,0,0.1825837626,0,Other,0,20,3,1598,880,40168,112442,3312.3333333333,0.5486688953,5,2315,0.278985,0.2801099396,198.8647104021,0.1370226559,0,53.0
2039-01-28,23,29992,511,Employed,Bachelor,2,21070,60,Married,3,Rent,742,0.2234935439,4,0,0.4188113945,0,Education,1,13,28,3018,748,137345,184374,2499.3333333333,0.7998625145,3,4869,0.27057,0.2468329232,614.5263491394,0.5427552744,0,64.0
2021-07-31,39,47578,490,Self-Employed,High School,19,34542,60,Divorced,3,Mortgage,500,0.29039955,6,1,0.2402492269,0,Other,1,33,12,3104,90,181713,19045,3964.8333333333,0.720569012,6,162668,0.294542,0.3046015546,1127.3337952245,0.4104419173,0,58.0
2048-11-04,56,51290,568,Employed,Bachelor,35,15653,60,Married,5,Rent,333,0.1823108712,2,0,0.2934446424,1,Auto,0,27,17,713,2851,31121,18559,4274.1666666667,0.9103270962,7,12562,0.236653,0.1901572067,406.1828594258,0.1729419831,0,63.0
2066-08-22,31,21180,577,Employed,Bachelor,5,9793,60,Married,4,Own,968,0.1595008566,2,0,0.0659487141,0,Home,0,25,25,6718,1250,80772,46418,1765.0,0.8198815262,2,34354,0.226293,0.2440160003,284.0120999318,0.7093552974,0,51.0
2039-02-22,41,44728,576,Employed,Bachelor,19,21066,36,Divorced,0,Rent,506,0.1448115263,2,1,0.0602656233,0,Other,0,20,15,2683,776,217832,21885,3727.3333333333,0.7556527135,2,195947,0.218066,0.1917505942,774.0615300415,0.3434255581,1,36.8
2018-04-05,35,15120,562,Self-Employed,Master,11,21849,84,Married,0,Rent,423,0.5157266656,5,1,0.238644521,0,Debt Consolidation,0,24,26,1874,1245,18522,14697,1260.0,0.951149525,5,3825,0.265849,0.2441707014,544.9168704598,0.7681879924,0,58.0
2027-05-09,38,64561,578,Employed,High School,18,6330,36,Single,2,Mortgage,612,0.3200689783,3,1,0.1814300974,0,Other,0,20,17,3108,2289,39805,16117,5380.0833333333,0.8923308278,4,23688,0.20233,0.161864,223.1269829331,0.1552256594,1,40.0
2049-03-06,49,19492,633,Employed,Bachelor,23,12175,36,Married,1,Mortgage,578,0.0305326429,5,1,0.2230523178,0,Auto,0,29,18,2148,1597,27427,40125,1624.3333333333,0.8513848957,8,9099,0.180675,0.1882295723,445.197983588,0.6299187258,0,50.0
2062-05-26,23,23888,512,Self-Employed,Bachelor,3,31489,24,Divorced,1,Rent,291,0.4805198394,4,0,0.3750695468,0,Auto,0,28,2,562,797,114345,18603,1990.6666666667,0.3229483224,6,95742,0.250489,0.2360025603,1658.5820585658,0.9793613824,0,62.0
2027-03-04,38,37763,492,Employed,Bachelor,16,34025,60,Married,0,Rent,632,0.1851387004,2,1,0.3226441489,0,Debt Consolidation,0,20,8,901,2113,4501,11874,3146.9166666667,0.6646198964,5,2332,0.293025,0.2974551562,1095.5116723617,0.5489537396,0,55.0
2030-02-11,29,36571,587,Employed,Bachelor,11,24140,48,Married,3,Rent,210,0.3078318043,3,2,0.2705613652,0,Auto,0,18,5,2182,226,185393,124935,3047.5833333333,0.8525943896,8,60458,0.22564,0.1912605786,723.3956087444,0.3062740233,0,53.0
2025-02-06,40,73600,449,Employed,High School,13,27666,48,Married,3,Rent,615,0.2858997289,0,1,0.3753329474,0,Home,0,19,3,1846,536,196040,9836,6133.3333333333,0.8165474045,5,186204,0.298166,0.315851811,1021.8098988329,0.2668711792,0,53.0
2057-02-06,57,97665,537,Employed,High School,35,10012,60,Divorced,2,Own,433,0.170385859,1,0,0.1713689048,0,Debt Consolidation,0,23,8,12103,138,43430,29746,8138.75,0.7347267974,5,13684,0.246512,0.2449682788,290.9193438818,0.0889472393,1,39.2
